,crit_vs_sec_last_insp,prior_2p_crit_insps
40396053,1,0
40396074,1,5
40396126,2,2
40396159,0,1
40396183,1,0
40396215,3,4
40396230,1,5
40396231,3,5
40396246,1,4
40396256,2,1
40396264,4,6
40396267,1,7
40396381,1,4
40396395,2,8
40396399,1,3
40396421,1,0
40396433,1,4
40396445,2,4
40396464,3,4
40396488,1,0
40396492,1,1
40396494,2,8
40396496,1,1
40396521,1,1
40396532,1,2
40396548,1,3
40396574,2,1
40396596,1,1
40396598,0,0
40396622,3,9
40396706,1,0
40396769,1,4
40396889,1,4
40396892,1,2
40396906,3,4
40396927,1,2
40397029,3,1
40397056,2,3
40397075,0,2
40397116,2,2
40397159,2,8
40397189,1,2
40397190,2,5
40397219,1,0
40397243,0,1
40397305,3,2
40397329,3,1
40397335,1,3
40397349,1,5
40397359,2,2
40397439,1,2
40397458,0,1
40397478,1,4
40397486,1,0
40397492,0,0
40397520,2,8
40397574,6,7
40397624,2,8
40397625,4,2
40397626,1,3
40397642,1,0
40397676,1,2
40397687,2,6
40397700,1,0
40397723,0,0
40397725,2,1
40397763,3,4
40397775,1,4
40397780,2,3
40397791,1,0
40397797,1,0
40397810,1,1
40397886,1,5
40397916,3,7
40397962,1,8
40398045,1,3
40398125,0,0
40398138,1,7
40398150,1,2
40398306,1,0
40398367,1,1
40398389,0,2
40398410,1,2
40398434,2,10
40398440,1,2
40398531,2,4
40398532,2,8
40398549,1,1
40398561,1,2
40398578,1,4
40398586,1,6
40398600,1,1
40398642,5,6
40398658,1,3
40398688,1,0
40398689,1,0
40398690,1,1
40398700,1,3
40398795,2,2
40398796,1,2
40398811,1,1
40398899,2,6
40398910,2,5
40398958,2,6
40398989,2,1
40399007,1,4
40399057,3,2
40399090,1,0
40399099,0,1
40399136,1,0
40399165,2,5
40399174,1,1
40399217,1,2
40399279,3,7
40399285,4,6
40399329,1,3
40399334,1,3
40399340,2,4
40399356,2,1
40399372,1,2
40399373,1,2
40399422,1,3
40399472,3,5
40399523,2,6
40399560,2,3
40399561,1,0
40399569,3,1
40399581,2,6
40399611,2,2
40399613,2,3
40399620,0,1
40399672,4,4
40399729,3,7
40399739,0,4
40399751,2,2
40399770,3,2
40399778,0,0
40399784,2,5
40399787,1,1
40399810,1,2
40399817,1,2
40399834,3,6
40399852,0,3
40399867,0,2
40399886,1,1
40399910,3,3
40399911,1,5
40399922,0,0
40399955,1,3
40399986,1,4
40399988,2,2
40399996,1,3
40400021,2,3
40400039,3,9
40400049,2,2
40400086,2,6
40400129,1,7
40400149,2,3
40400155,1,0
40400172,1,6
40400185,0,2
40400198,1,1
40400204,1,0
40400209,1,3
40400251,1,5
40400314,1,2
40400355,4,6
40400366,1,6
40400418,0,1
40400429,1,0
40400453,1,6
40400473,0,1
40400483,1,0
40400492,1,4
40400539,1,0
40400544,1,4
40400556,1,5
40400559,2,4
40400561,1,4
40400610,1,3
40400635,2,3
40400638,0,2
40400641,3,4
40400657,1,2
40400686,2,5
40400702,2,1
40400710,1,3
40400739,0,1
40400754,0,0
40400799,2,4
40400810,1,1
40400811,4,10
40400890,2,1
40400898,2,6
40400962,0,0
40400976,1,5
40400989,2,3
40400997,1,5
40401000,2,6
40401002,1,2
40401025,1,1
40401060,2,9
40401066,1,1
40401084,1,0
40401093,1,1
40401104,0,3
40401151,2,3
40401155,1,2
40401160,3,2
40401173,1,2
40401216,1,1
40401223,1,0
40401224,1,1
40401247,2,4
40401250,1,0
40401316,3,9
40401422,1,2
40401445,1,0
40401453,2,2
40401454,0,5
40401487,1,2
40401504,1,1
40401506,3,2
40401543,3,9
40401556,1,2
40401583,3,7
40401671,2,7
40401673,1,1
40401707,2,3
40401722,1,0
40401742,1,0
40401810,1,2
40401821,2,8
40401834,1,5
40401837,1,6
40401841,1,4
40401864,1,2
40401887,2,4
40401895,2,4
40401912,2,2
40401934,0,0
40401937,2,4
40401946,1,2
40401953,1,6
40401971,1,2
40401998,1,1
40401999,1,5
40402007,1,1
40402023,6,5
40402026,1,1
40402029,1,3
40402082,0,0
40402089,0,1
