,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
30075445,8.0,4.0,2013-08-14,2016-02-18,2015-02-09,10462,BRONX,Bakery,1007 MORRIS PARK AVE,5,1,1,7.0,3.0,4,1.75,0.75,374,918,0,"1007 MORRIS PARK AVE, NY",40.84853745,-73.8561234195
30112340,14.0,10.0,2014-06-05,2016-10-27,2016-10-03,11225,BROOKLYN,Hamburgers,469 FLATBUSH AVENUE,9,1,1,13.0,9.0,8,1.625,1.125,24,875,0,"469 FLATBUSH AVENUE, NY",40.66293035,-73.9617256984
40356018,1.0,7.0,2013-06-05,2016-05-16,2015-06-05,11224,BROOKLYN,American,2780 STILLWELL AVENUE,4,1,1,0.0,6.0,3,0.0,2.0,346,1076,0,"2780 STILLWELL AVENUE, NY",40.57952565,-73.9824264038
40356151,13.0,5.0,2014-04-11,2016-05-14,2015-05-29,11369,QUEENS,American,8825 ASTORIA BOULEVARD,7,1,1,12.0,4.0,6,2.0,0.666666666667,351,764,0,"8825 ASTORIA BOULEVARD, NY",40.772354,-73.9315019
40356483,9.0,15.0,2013-07-09,2016-04-20,2015-05-08,11234,BROOKLYN,Delicatessen,7114 AVENUE U,7,1,2,8.0,13.0,6,1.33333333333,2.16666666667,348,1016,0,"7114 AVENUE U, NY",40.619892,-73.906850151
40356731,4.0,5.0,2013-07-10,2016-05-19,2015-06-26,11226,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",1839 NOSTRAND AVENUE,4,1,1,3.0,4.0,3,1.0,1.33333333333,328,1044,0,"1839 NOSTRAND AVENUE, NY",40.6408257,-73.9483459
40357217,2.0,7.0,2013-06-19,2016-04-19,2015-05-06,10460,BRONX,American,2300 SOUTHERN BOULEVARD,4,1,1,1.0,6.0,3,0.333333333333,2.0,349,1035,0,"2300 SOUTHERN BOULEVARD, NY",40.85066,-73.882546
40359705,15.0,8.0,2014-11-29,2017-01-23,2016-07-08,11224,BROOKLYN,Hotdogs,1310 SURF AVENUE,8,2,1,13.0,7.0,7,1.85714285714,1.0,199,786,1,"1310 SURF AVENUE, NY",40.57530105,-73.9814686031
40360045,17.0,10.0,2014-10-20,2017-03-13,2016-08-29,11223,BROOKLYN,Jewish/Kosher,705 KINGS HIGHWAY,8,3,2,14.0,8.0,7,2.0,1.14285714286,196,875,1,"705 KINGS HIGHWAY, NY",40.60649405,-73.9654257051
40360076,2.0,4.0,2015-01-22,2017-03-16,2016-02-09,11218,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",203 CHURCH AVENUE,3,1,3,1.0,1.0,2,0.5,0.5,401,784,0,"203 CHURCH AVENUE, NY",42.992504,-73.8504245
40361322,10.0,5.0,2014-10-07,2017-01-05,2015-11-16,11004,QUEENS,"Ice Cream, Gelato, Yogurt, Ices",26515 HILLSIDE AVENUE,6,2,1,8.0,4.0,5,1.6,0.8,416,821,1,"26515 HILLSIDE AVENUE, NY",40.7374599,-73.707734
40361606,4.0,9.0,2013-11-14,2016-05-05,2016-03-29,11215,BROOKLYN,American,284 PROSPECT PARK WEST,4,1,3,3.0,6.0,3,1.0,2.0,37,903,0,"284 PROSPECT PARK WEST, NY",40.65803965,-73.9828794274
40361708,12.0,7.0,2014-01-21,2016-07-25,2016-02-02,10003,MANHATTAN,Delicatessen,759 BROADWAY,8,1,1,11.0,6.0,7,1.57142857143,0.857142857143,174,916,0,"759 BROADWAY, NY",40.75904,-73.5713586667
40361998,3.0,3.0,2013-03-13,2016-02-22,2015-03-04,11106,QUEENS,Delicatessen,3406 10 STREET,4,1,1,2.0,2.0,3,0.666666666667,0.666666666667,355,1076,0,"3406 10 STREET, NY",41.4933921,-74.0998648
40362098,10.0,7.0,2014-02-03,2016-08-30,2016-02-17,10024,MANHATTAN,American,502 AMSTERDAM AVENUE,6,1,2,9.0,5.0,5,1.8,1.0,195,939,0,"502 AMSTERDAM AVENUE, NY",40.7867051,-73.9760763443
40362264,12.0,9.0,2013-04-08,2016-04-04,2015-03-19,10025,MANHATTAN,American,730 COLUMBUS AVENUE,6,1,1,11.0,8.0,5,2.2,1.6,382,1092,0,"730 COLUMBUS AVENUE, NY",40.7925729,-73.9680365
40362274,10.0,10.0,2014-04-03,2016-11-18,2016-10-25,10012,MANHATTAN,American,18 WEST HOUSTON STREET,6,2,2,8.0,8.0,5,1.6,1.6,24,960,1,"18 WEST HOUSTON STREET, NY",40.7257247,-73.997056
40362715,25.0,17.0,2014-09-04,2017-03-24,2016-10-07,10005,MANHATTAN,Sandwiches/Salads/Mixed Buffet,60 WALL STREET,11,1,2,24.0,15.0,10,2.4,1.5,168,932,0,"60 WALL STREET, NY",40.70617305,-74.0085160962
40363098,5.0,3.0,2014-01-15,2017-01-12,2015-12-14,11201,BROOKLYN,Donuts,56 COURT STREET,4,2,1,3.0,2.0,3,1.0,0.666666666667,395,1093,1,"56 COURT STREET, NY",40.69224025,-73.991411
40363298,6.0,10.0,2013-12-13,2016-05-13,2015-05-18,10018,MANHATTAN,American,625 8 AVENUE,5,1,2,5.0,8.0,4,1.25,2.0,361,882,0,"625 8 AVENUE, NY",40.589235,-73.963224
40363333,8.0,12.0,2013-06-10,2016-04-29,2015-05-13,11385,QUEENS,Delicatessen,1069 WYCKOFF AVENUE,7,1,2,7.0,10.0,6,1.16666666667,1.66666666667,352,1054,0,"1069 WYCKOFF AVENUE, NY",40.6948347,-73.9025374
40363426,4.0,6.0,2013-08-21,2016-05-13,2015-02-09,10174,MANHATTAN,Sandwiches/Salads/Mixed Buffet,405 LEXINGTON AVENUE,5,1,1,3.0,5.0,4,0.75,1.25,459,996,0,"405 LEXINGTON AVENUE, NY",40.7519148,-73.9755299
40363427,11.0,7.0,2014-12-03,2016-12-28,2016-06-06,10314,STATEN ISLAND,Delicatessen,2491 VICTORY BOULEVARD,7,2,2,9.0,5.0,6,1.5,0.833333333333,205,756,1,"2491 VICTORY BOULEVARD, NY",40.6000612,-74.1778871
40363565,18.0,12.0,2013-12-24,2016-09-09,2016-08-18,11379,QUEENS,Bagels/Pretzels,7905 METROPOLITAN AVENUE,9,2,1,16.0,11.0,8,2.0,1.375,22,990,1,"7905 METROPOLITAN AVENUE, NY",40.71276,-73.9022429
40363630,16.0,7.0,2013-02-21,2015-12-10,2015-06-15,10028,MANHATTAN,Continental,1418 THIRD AVENUE,8,2,1,14.0,6.0,7,2.0,0.857142857143,178,1022,1,"1418 THIRD AVENUE, NY",42.7999727143,-73.9541840816
40363644,3.0,13.0,2014-08-05,2017-03-30,2017-03-06,10016,MANHATTAN,Pizza,464 3 AVENUE,6,1,2,2.0,11.0,5,0.4,2.2,24,968,0,"464 3 AVENUE, NY",40.5884710909,-73.9686659091
40363685,2.0,7.0,2013-06-07,2016-05-02,2015-05-12,10022,MANHATTAN,American,437 MADISON AVENUE,4,1,1,1.0,6.0,3,0.333333333333,2.0,356,1060,0,"437 MADISON AVENUE, NY",40.7573564,-73.9753768591
40363834,6.0,4.0,2014-04-24,2016-12-22,2016-06-07,10305,STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",1111 HYLAN BOULEVARD,5,1,1,5.0,3.0,4,1.25,0.75,198,973,0,"1111 HYLAN BOULEVARD, NY",40.5987763,-74.0796766244
40363920,5.0,6.0,2014-04-23,2016-10-19,2015-10-10,11212,BROOKLYN,Chinese,976 RUTLAND ROAD,5,1,1,4.0,5.0,4,1.0,1.25,375,910,0,"976 RUTLAND ROAD, NY",40.6620102,-73.927031012
40364149,7.0,4.0,2015-06-11,2016-12-28,2016-06-14,10001,MANHATTAN,Bagels/Pretzels,0 34 STREET,4,1,1,6.0,3.0,3,2.0,1.0,197,566,0,"0 34 STREET, NY",42.4861706667,-76.4750773333
40364220,10.0,9.0,2013-12-05,2016-10-20,2015-10-15,11230,BROOKLYN,Jewish/Kosher,1423 AVENUE J,7,1,1,9.0,8.0,6,1.5,1.33333333333,371,1050,0,"1423 AVENUE J, NY",40.6252876,-73.9615587
40364286,10.0,5.0,2014-10-27,2016-11-15,2016-05-31,10306,STATEN ISLAND,Bagels/Pretzels,73 NEW DORP PLAZA,6,1,2,9.0,3.0,5,1.8,0.6,168,750,0,"73 NEW DORP PLAZA, NY",40.5734594,-74.1178654
40364296,2.0,3.0,2015-02-12,2017-04-04,2016-02-17,10458,BRONX,Chinese,277 EAST KINGSBRIDGE ROAD,3,2,2,0.0,1.0,2,0.0,0.5,412,782,1,"277 EAST KINGSBRIDGE ROAD, NY",40.863511,-73.8940381
40364299,14.0,18.0,2014-02-25,2016-05-19,2015-06-10,10308,STATEN ISLAND,Delicatessen,203 GIFFORDS LANE,8,2,4,12.0,14.0,7,1.71428571429,2.0,344,814,1,"203 GIFFORDS LANE, NY",40.5564115,-74.1525005
40364305,6.0,4.0,2013-05-16,2016-03-10,2015-02-20,11209,BROOKLYN,Italian,10004 4 AVENUE,5,1,2,5.0,2.0,4,1.25,0.5,384,1029,0,"10004 4 AVENUE, NY",40.6006278,-74.1427665
40364335,10.0,10.0,2014-03-08,2016-12-12,2016-10-25,11211,BROOKLYN,Steak,178 BROADWAY,6,1,2,9.0,8.0,5,1.8,1.6,48,1010,0,"178 BROADWAY, NY",40.7098661,-73.9625563
40364363,7.0,4.0,2013-07-13,2016-06-25,2015-06-06,10465,BRONX,American,658 CLARENCE AVE,4,2,1,5.0,3.0,3,1.66666666667,1.0,385,1078,1,"658 CLARENCE AVE, NY",40.8291639,-73.8143300929
40364373,3.0,5.0,2014-02-24,2017-01-25,2015-11-16,10065,MANHATTAN,Italian,1028 3 AVENUE,4,1,2,2.0,3.0,3,0.666666666667,1.0,436,1066,0,"1028 3 AVENUE, NY",40.5894104286,-73.9601461429
40364439,13.0,9.0,2014-05-02,2016-11-15,2016-10-12,10014,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",62 CHARLES STREET,6,2,1,11.0,8.0,5,2.2,1.6,34,928,1,"62 CHARLES STREET, NY",40.7348424,-74.0030608
40364443,8.0,10.0,2015-02-12,2017-03-20,2016-08-31,10013,MANHATTAN,American,100 CENTRE STREET,6,2,2,6.0,8.0,5,1.2,1.6,201,767,1,"100 CENTRE STREET, NY",40.7160736,-74.0011698
40364449,10.0,7.0,2014-03-15,2016-07-27,2015-10-22,11385,QUEENS,German,657 FAIRVIEW AVENUE,6,1,1,9.0,6.0,5,1.8,1.2,279,865,0,"657 FAIRVIEW AVENUE, NY",40.7067229,-73.9056607
40364467,16.0,7.0,2014-07-22,2017-03-13,2017-02-13,10019,MANHATTAN,American,180 CENTRAL PARK SOUTH,6,1,1,15.0,6.0,5,3.0,1.2,28,965,0,"180 CENTRAL PARK SOUTH, NY",40.76636125,-73.979010539
40364518,12.0,7.0,2013-11-27,2016-05-31,2015-02-25,10009,MANHATTAN,American,108 AVENUE B,6,1,1,11.0,6.0,5,2.2,1.2,461,916,0,"108 AVENUE B, NY",40.7250437,-73.9814659
40364529,14.0,11.0,2015-03-02,2017-04-06,2017-03-20,11374,QUEENS,Jewish/Kosher,9640 QUEENS BOULEVARD,7,2,4,12.0,7.0,6,2.0,1.16666666667,17,766,1,"9640 QUEENS BOULEVARD, NY",40.711536,-73.8240838
40364572,4.0,2.0,2014-03-26,2016-03-22,2015-03-10,10065,MANHATTAN,Steak,845 LEXINGTON AVENUE,3,1,1,3.0,1.0,2,1.5,0.5,378,727,0,"845 LEXINGTON AVENUE, NY",40.7654236,-73.9655295
40364715,16.0,12.0,2014-06-10,2016-11-03,2016-08-22,10011,MANHATTAN,American,56 9 AVENUE,7,1,2,15.0,10.0,6,2.5,1.66666666667,73,877,0,"56 9 AVENUE, NY",40.5878974807,-73.9739000221
40364744,10.0,7.0,2013-10-30,2016-10-03,2016-04-27,11414,QUEENS,Pizza/Italian,156-71 CROSSBAY BOULEVARD,7,2,1,8.0,6.0,6,1.33333333333,1.0,159,1069,1,"156-71 CROSSBAY BOULEVARD, NY",40.6797667,-73.8445909
40364858,8.0,7.0,2013-05-31,2016-04-02,2015-02-04,11363,QUEENS,American,600 WEST DRIVE,5,1,1,7.0,6.0,4,1.75,1.5,423,1037,0,"600 WEST DRIVE, NY",40.768292,-73.9795327
40364889,2.0,8.0,2014-11-28,2017-01-23,2015-12-21,11232,BROOKLYN,American,461 37 STREET,3,1,4,1.0,4.0,2,0.5,2.0,399,787,0,"461 37 STREET, NY",41.1319873879,-72.355435226
40364920,4.0,5.0,2014-10-06,2016-11-03,2016-09-23,11103,QUEENS,Pizza,3013 STEINWAY STREET,4,2,1,2.0,4.0,3,0.666666666667,1.33333333333,41,759,1,"3013 STEINWAY STREET, NY",40.7605248,-73.9177498
