,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
41544844,16.0,4.0,2014-03-03,2016-12-21,2016-10-26,10019,MANHATTAN,Italian,50 WEST   57 STREET,6,2,1,14.0,3.0,5,2.8,0.6,56,1024,1
41544857,7.0,5.0,2014-08-12,2017-04-10,2017-02-13,11201,BROOKLYN,Chinese,121 SMITH STREET,6,1,1,6.0,4.0,5,1.2,0.8,56,972,0
41545050,8.0,6.0,2014-02-06,2016-09-13,2015-09-09,10461,BRONX,Italian,1082 MORRIS PARK AVENUE,6,1,2,7.0,4.0,5,1.4,0.8,370,950,0
41545062,26.0,13.0,2014-06-12,2016-12-22,2016-10-27,11362,QUEENS,Japanese,23110 NORTHERN BOULEVARD,10,4,1,22.0,12.0,9,2.4444444444444446,1.3333333333333333,56,924,1
41545370,14.0,11.0,2014-03-13,2017-03-12,2016-12-22,10030,MANHATTAN,African,22712269 7 AVENUE,9,1,1,13.0,10.0,8,1.625,1.25,80,1095,0
41545583,8.0,10.0,2014-07-21,2017-04-07,2016-09-21,10002,MANHATTAN,Italian,251 EAST HOUSTON STREET,8,2,1,6.0,9.0,7,0.8571428571428571,1.2857142857142858,198,991,1
41545586,11.0,11.0,2014-04-08,2016-06-02,2015-11-02,11204,BROOKLYN,Jewish/Kosher,4602 16 AVENUE,9,2,1,9.0,10.0,8,1.125,1.25,213,786,1
41545589,17.0,10.0,2014-07-16,2017-02-27,2017-02-01,10471,BRONX,Pizza/Italian,5654 RIVERDALE AVENUE,10,3,1,14.0,9.0,9,1.5555555555555556,1.0,26,957,1
41545595,8.0,4.0,2013-10-22,2016-09-06,2016-03-18,10013,MANHATTAN,American,77 WORTH STREET,5,1,1,7.0,3.0,4,1.75,0.75,172,1050,0
41545605,12.0,10.0,2014-01-27,2016-12-12,2016-11-01,10014,MANHATTAN,Café/Coffee/Tea,803 WASHINGTON STREET,9,2,2,10.0,8.0,8,1.25,1.0,41,1050,1
41545616,1.0,5.0,2014-03-18,2016-03-16,2015-03-05,11226,BROOKLYN,Pakistani,26 NEWKIRK PLAZA,3,1,1,0.0,4.0,2,0.0,2.0,377,729,0
41545645,13.0,10.0,2014-08-07,2017-02-11,2016-11-02,11235,BROOKLYN,Japanese,1901 EMMONS AVENUE,7,1,1,12.0,9.0,6,2.0,1.5,101,919,0
41545732,13.0,10.0,2014-02-10,2016-10-13,2016-09-07,11201,BROOKLYN,Thai,156 COURT STREET,6,2,2,11.0,8.0,5,2.2,1.6,36,976,1
41545743,10.0,5.0,2014-03-24,2016-12-20,2015-11-13,10002,MANHATTAN,Bakery,160 EAST BROADWAY,8,2,2,8.0,3.0,7,1.1428571428571428,0.42857142857142855,403,1002,1
41545758,25.0,11.0,2014-04-05,2017-01-06,2016-12-19,11219,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4417 NEW UTRECHT AVE,13,1,1,24.0,10.0,12,2.0,0.8333333333333334,18,1007,0
41545769,29.0,12.0,2014-06-06,2017-03-07,2016-08-23,10002,MANHATTAN,Bakery,139 HESTER STREET,13,1,2,28.0,10.0,12,2.3333333333333335,0.8333333333333334,196,1005,0
41545892,7.0,11.0,2014-07-01,2017-03-31,2017-03-01,11237,BROOKLYN,Mexican,252 KNICKERBOCKER AVENUE,6,1,2,6.0,9.0,5,1.2,1.8,30,1004,0
41545908,2.0,6.0,2014-10-28,2016-11-28,2015-10-14,10018,MANHATTAN,Café/Coffee/Tea,1440 BROADWAY,3,2,2,0.0,4.0,2,0.0,2.0,411,762,1
41545974,15.0,11.0,2014-06-20,2017-02-13,2017-02-03,10013,MANHATTAN,Sandwiches,101105 LAFAYETTE STREET,9,1,1,14.0,10.0,8,1.75,1.25,10,969,0
41546006,9.0,8.0,2014-04-25,2016-06-04,2015-06-17,10034,MANHATTAN,Mexican,253257 SHERMAN AVENUE,6,2,2,7.0,6.0,5,1.4,1.2,353,771,1
41546041,9.0,3.0,2013-08-16,2016-04-21,2015-04-08,10075,MANHATTAN,American,308 EAST   78 STREET,5,1,1,8.0,2.0,4,2.0,0.5,379,979,0
41546054,9.0,8.0,2014-07-21,2016-08-03,2015-07-16,10016,MANHATTAN,American,99 PARK AVENUE,6,2,1,7.0,7.0,5,1.4,1.4,384,744,1
41546087,3.0,4.0,2013-06-18,2016-04-26,2015-05-20,11234,BROOKLYN,American,6161 STRICKLAND AVENUE,4,1,1,2.0,3.0,3,0.6666666666666666,1.0,342,1043,0
41546229,14.0,7.0,2014-05-19,2016-07-05,2015-11-19,10461,BRONX,Pizza,3009 MIDDLETOWN ROAD,9,1,1,13.0,6.0,8,1.625,0.75,229,778,0
41546236,7.0,3.0,2014-05-24,2016-11-03,2015-10-24,11372,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8026 NORTHERN BOULEVARD,5,1,2,6.0,1.0,4,1.5,0.25,376,894,0
41546338,4.0,3.0,2014-09-18,2017-01-05,2015-11-18,11362,QUEENS,Korean,25116 NORTHERN BOULEVARD,3,1,2,3.0,1.0,2,1.5,0.5,414,840,0
41546344,9.0,6.0,2013-12-31,2016-07-21,2015-09-30,11430,QUEENS,Hotdogs/Pretzels,0 JFK INTERNATIONAL AIRPORT,6,1,1,8.0,5.0,5,1.6,1.0,295,933,0
41546388,13.0,5.0,2015-03-11,2017-03-29,2016-09-28,10013,MANHATTAN,Bakery,230 GRAND STREET,9,1,2,12.0,3.0,8,1.5,0.375,182,749,0
41546465,5.0,5.0,2014-10-14,2016-11-28,2016-06-20,10024,MANHATTAN,Thai,435 AMSTERDAM AVENUE,4,1,1,4.0,4.0,3,1.3333333333333333,1.3333333333333333,161,776,0
41546717,13.0,9.0,2014-06-03,2017-01-28,2016-11-04,10019,MANHATTAN,Korean,346 WEST   52 STREET,7,1,2,12.0,7.0,6,2.0,1.1666666666666667,85,970,0
41546741,21.0,16.0,2014-08-16,2017-03-10,2016-06-13,11211,BROOKLYN,American,112 BERRY STREET,9,4,2,17.0,14.0,8,2.125,1.75,270,937,1
41546745,27.0,16.0,2014-07-07,2017-01-19,2016-12-29,11206,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",920 BROADWAY,12,3,2,24.0,14.0,11,2.1818181818181817,1.2727272727272727,21,927,1
41546775,16.0,14.0,2015-02-26,2017-03-21,2017-02-21,10004,MANHATTAN,American,6 STONE STREET,8,1,2,15.0,12.0,7,2.142857142857143,1.7142857142857142,28,754,0
41546871,14.0,3.0,2013-12-26,2016-05-05,2015-03-23,10314,STATEN ISLAND,Italian,1817 VICTORY BOULEVARD,6,1,1,13.0,2.0,5,2.6,0.4,409,861,0
41546891,7.0,8.0,2014-03-27,2017-02-17,2015-12-29,11421,QUEENS,Chinese,7915 ATLANTIC AVENUE,5,1,2,6.0,6.0,4,1.5,1.5,416,1058,0
41546934,5.0,3.0,2013-03-13,2016-03-10,2014-08-19,11363,QUEENS,American,23105 NORTHERN BOULEVARD,4,1,1,4.0,2.0,3,1.3333333333333333,0.6666666666666666,569,1093,0
41546956,17.0,9.0,2014-05-29,2017-03-09,2016-07-19,11216,BROOKLYN,Chinese,1367 FULTON STREET,8,3,1,14.0,8.0,7,2.0,1.1428571428571428,233,1015,1
41546980,6.0,4.0,2014-03-10,2016-09-22,2015-08-19,10031,MANHATTAN,Mexican,1726 AMSTERDAM AVENUE,5,1,1,5.0,3.0,4,1.25,0.75,400,927,0
41546986,7.0,6.0,2014-05-23,2016-05-20,2015-06-05,10009,MANHATTAN,American,40 AVENUE C,5,1,1,6.0,5.0,4,1.5,1.25,350,728,0
41547050,11.0,8.0,2014-03-04,2016-09-07,2016-07-27,11430,QUEENS,American,13226 SOUTH CONDUIT AVENUE,7,1,1,10.0,7.0,6,1.6666666666666667,1.1666666666666667,42,918,0
41547073,19.0,16.0,2013-05-14,2016-03-24,2015-10-17,11218,BROOKLYN,Chinese,61A CHURCH AVENUE,12,1,3,18.0,13.0,11,1.6363636363636365,1.1818181818181819,159,1045,0
41547077,8.0,8.0,2014-04-01,2017-01-18,2016-11-15,11103,QUEENS,Chicken,3042 STEINWAY STREET,6,1,2,7.0,6.0,5,1.4,1.2,64,1023,0
41547101,6.0,5.0,2014-04-01,2016-10-05,2016-04-11,11222,BROOKLYN,American,1035 MANHATTAN AVENUE,5,1,2,5.0,3.0,4,1.25,0.75,177,918,0
41547117,11.0,8.0,2014-02-20,2017-02-13,2016-05-12,11218,BROOKLYN,Italian,157 PROSPECT PARK SOUTH WEST,8,1,1,10.0,7.0,7,1.4285714285714286,1.0,277,1089,0
41547119,19.0,11.0,2013-10-29,2016-10-11,2016-08-31,11207,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",762 SNEDIKER AVENUE,10,1,2,18.0,9.0,9,2.0,1.0,41,1078,0
41547121,28.0,10.0,2013-10-21,2016-09-22,2016-03-10,10036,MANHATTAN,Delicatessen,38 WEST   48 STREET,11,1,2,27.0,8.0,10,2.7,0.8,196,1067,0
41547179,11.0,6.0,2013-10-07,2016-08-11,2015-12-22,11214,BROOKLYN,Russian,2568 86 STREET,8,1,1,10.0,5.0,7,1.4285714285714286,0.7142857142857143,233,1039,0
41547298,22.0,19.0,2014-04-23,2016-11-14,2016-10-12,10004,MANHATTAN,American,54 PEARL STREET,10,1,1,21.0,18.0,9,2.3333333333333335,2.0,33,936,0
41547472,7.0,8.0,2014-08-07,2016-10-12,2016-05-02,10036,MANHATTAN,American,683 8 AVENUE,6,1,2,6.0,6.0,5,1.2,1.2,163,797,0
41547536,13.0,11.0,2014-08-28,2017-01-18,2016-12-08,11375,QUEENS,Thai,7015 AUSTIN STREET,10,2,1,11.0,10.0,9,1.2222222222222223,1.1111111111111112,41,874,1
41547568,17.0,14.0,2014-07-21,2016-12-20,2016-10-03,11414,QUEENS,Japanese,16102 CROSSBAY BOULEVARD,11,1,1,16.0,13.0,10,1.6,1.3,78,883,0
41547596,32.0,10.0,2014-02-12,2016-09-12,2016-08-17,11216,BROOKLYN,Japanese,1185 BEDFORD AVENUE,11,3,1,29.0,9.0,10,2.9,0.9,26,943,1
41547604,7.0,8.0,2013-10-30,2016-10-12,2015-10-05,11375,QUEENS,Chinese,11054 QUEENS BOULEVARD,7,1,2,6.0,6.0,6,1.0,1.0,373,1078,0
41547646,9.0,7.0,2013-10-23,2016-03-30,2015-04-15,11385,QUEENS,American,5433 MYRTLE AVENUE,6,1,1,8.0,6.0,5,1.6,1.2,350,889,0
41547684,13.0,10.0,2014-03-13,2016-10-19,2015-10-21,10310,STATEN ISLAND,American,480 FOREST AVENUE,8,1,2,12.0,8.0,7,1.7142857142857142,1.1428571428571428,364,951,0
41547788,5.0,3.0,2013-09-23,2016-09-21,2016-08-29,10019,MANHATTAN,French,911 7 AVENUE,5,1,1,4.0,2.0,4,1.0,0.5,23,1094,0
41547796,10.0,6.0,2013-05-25,2015-10-30,2015-05-16,10308,STATEN ISLAND,Russian,4072 HYLAN BOULEVARD,7,1,1,9.0,5.0,6,1.5,0.8333333333333334,167,888,0
41547897,10.0,5.0,2014-08-06,2017-02-16,2016-07-07,10003,MANHATTAN,Japanese,9 EAST   17 STREET,6,2,1,8.0,4.0,5,1.6,0.8,224,925,1
41547909,17.0,14.0,2013-06-13,2016-05-26,2015-09-01,11105,QUEENS,Japanese,3704 DITMARS BOULEVARD,10,1,2,16.0,12.0,9,1.7777777777777777,1.3333333333333333,268,1078,0
41547917,3.0,4.0,2014-05-02,2016-05-12,2015-04-28,11357,QUEENS,Italian,15411 POWELLS COVE BOULEVARD,3,1,2,2.0,2.0,2,1.0,1.0,380,741,0
41548052,3.0,1.0,2014-03-25,2016-03-25,2015-03-05,11370,QUEENS,Donuts,8304 ASTORIA BOULEVARD,3,1,1,2.0,0.0,2,1.0,0.0,386,731,0
41548070,2.0,1.0,2014-03-27,2016-03-25,2015-03-16,11370,QUEENS,Chicken,8310 ASTORIA BOULEVARD,3,1,1,1.0,0.0,2,0.5,0.0,375,729,0
41548181,4.0,5.0,2013-05-29,2016-04-28,2015-05-14,11361,QUEENS,Korean,20911 NORTHERN BOULEVARD,4,2,3,2.0,2.0,3,0.6666666666666666,0.6666666666666666,350,1065,1
41548204,13.0,7.0,2014-09-11,2016-10-26,2016-09-29,10011,MANHATTAN,French,262A WEST   15 STREET,10,1,2,12.0,5.0,9,1.3333333333333333,0.5555555555555556,27,776,0
41548213,21.0,17.0,2014-06-09,2017-04-07,2017-03-28,11201,BROOKLYN,American,61 BEGEN STREET,9,3,3,18.0,14.0,8,2.25,1.75,10,1033,1
41548238,14.0,8.0,2013-11-21,2016-05-04,2015-06-11,10470,BRONX,Caribbean,686 NEREID AVENUE,8,2,1,12.0,7.0,7,1.7142857142857142,1.0,328,895,1
41548314,3.0,7.0,2013-10-10,2016-04-09,2015-03-19,10455,BRONX,American,530 WILLIS AVENUE,5,1,2,2.0,5.0,4,0.5,1.25,387,912,0
41548334,9.0,7.0,2013-07-02,2016-06-28,2016-01-05,10013,MANHATTAN,American,55 THOMAS STREET,7,1,1,8.0,6.0,6,1.3333333333333333,1.0,175,1092,0
41548416,10.0,16.0,2013-09-12,2016-05-01,2015-01-07,11222,BROOKLYN,American,195 FRANKLIN STREET,6,1,1,9.0,15.0,5,1.8,3.0,480,962,0
41548430,25.0,20.0,2014-04-23,2017-03-31,2017-02-27,11237,BROOKLYN,Mexican,91 WYCKOFF AVENUE,11,2,1,23.0,19.0,10,2.3,1.9,32,1073,1
41548483,13.0,14.0,2014-03-24,2017-03-03,2016-08-25,11218,BROOKLYN,Mexican,3913 13 AVENUE,7,1,1,12.0,13.0,6,2.0,2.1666666666666665,190,1075,0
41548567,4.0,8.0,2014-03-25,2016-09-21,2015-09-22,11102,QUEENS,Other,1804 ASTORIA BOULEVARD,5,1,2,3.0,6.0,4,0.75,1.5,365,911,0
41548669,25.0,17.0,2013-09-11,2016-08-25,2016-08-01,11215,BROOKLYN,Chinese,399 5 AVENUE,13,1,1,24.0,16.0,12,2.0,1.3333333333333333,24,1079,0
41548686,23.0,20.0,2014-01-27,2016-08-05,2016-07-12,10019,MANHATTAN,Turkish,325 WEST   57 STREET,12,2,1,21.0,19.0,11,1.9090909090909092,1.7272727272727273,24,921,1
41548700,16.0,13.0,2014-02-11,2016-10-18,2016-09-06,10013,MANHATTAN,American,159 DUANE STREET,7,2,1,14.0,12.0,6,2.3333333333333335,2.0,42,980,1
41548724,7.0,5.0,2014-04-11,2016-05-27,2015-11-25,10001,MANHATTAN,Soups & Sandwiches,345 7 AVENUE,6,1,1,6.0,4.0,5,1.2,0.8,184,777,0
41548756,21.0,8.0,2014-06-14,2017-03-27,2016-06-14,11204,BROOKLYN,Chinese,6224 18 AVENUE,8,4,1,17.0,7.0,7,2.4285714285714284,1.0,286,1017,1
41548763,30.0,13.0,2013-09-03,2016-07-15,2015-12-24,11421,QUEENS,Mexican,75-10A JAMAICA AVENUE,13,2,1,28.0,12.0,12,2.3333333333333335,1.0,204,1046,1
41548819,12.0,11.0,2014-06-17,2017-03-23,2016-08-03,11412,QUEENS,Caribbean,11106 FARMERS BOULEVARD,8,1,2,11.0,9.0,7,1.5714285714285714,1.2857142857142858,232,1010,0
41548948,18.0,13.0,2013-05-13,2016-05-03,2015-06-01,10038,MANHATTAN,Mexican,83 MAIDEN LANE,10,2,2,16.0,11.0,9,1.7777777777777777,1.2222222222222223,337,1086,1
41549019,5.0,1.0,2013-04-26,2016-04-05,2015-04-16,10471,BRONX,American,5650 RIVERDALE AVENUE,4,2,1,3.0,0.0,3,1.0,0.0,355,1075,1
41549174,1.0,2.0,2014-08-26,2016-09-06,2015-08-21,11691,QUEENS,Sandwiches,1807 MOTT AVENUE,3,1,1,0.0,1.0,2,0.0,0.5,382,742,0
41549202,7.0,6.0,2014-11-20,2017-02-01,2016-10-13,11211,BROOKLYN,American,593 LORIMER STREET,5,1,2,6.0,4.0,4,1.5,1.0,111,804,0
41549226,6.0,7.0,2014-02-27,2017-01-30,2016-12-13,10028,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",1569 2 AVENUE,6,1,2,5.0,5.0,5,1.0,1.0,48,1068,0
41549281,9.0,7.0,2014-02-24,2016-10-03,2016-09-16,10001,MANHATTAN,Donuts,316 WEST   34 STREET,6,3,2,6.0,5.0,5,1.2,1.0,17,952,1
41549333,14.0,14.0,2013-10-07,2016-09-06,2015-08-20,11420,QUEENS,Caribbean,13317 ROCKAWAY BOULEVARD,10,1,1,13.0,13.0,9,1.4444444444444444,1.4444444444444444,383,1065,0
41549472,20.0,14.0,2014-10-31,2017-03-01,2017-02-06,10002,MANHATTAN,Chinese,68 EAST BROADWAY,10,1,1,19.0,13.0,9,2.111111111111111,1.4444444444444444,23,852,0
41549526,3.0,5.0,2013-05-22,2016-04-13,2015-04-30,10462,BRONX,Caribbean,1262 CASTLE HILL AVENUE,4,1,1,2.0,4.0,3,0.6666666666666666,1.3333333333333333,349,1057,0
41549545,17.0,12.0,2014-03-04,2016-03-17,2015-04-21,10312,STATEN ISLAND,Italian,26 JEFFERSON BOULEVARD,7,2,3,15.0,9.0,6,2.5,1.5,331,744,1
41549554,11.0,4.0,2014-06-02,2017-01-20,2016-12-29,11354,QUEENS,American,4028 COLLEGE POINT BOULEVARD,6,1,1,10.0,3.0,5,2.0,0.6,22,963,0
41549759,11.0,9.0,2014-04-10,2017-02-13,2016-01-26,10019,MANHATTAN,Mexican,235 WEST   56 STREET,7,1,2,10.0,7.0,6,1.6666666666666667,1.1666666666666667,384,1040,0
41549763,11.0,7.0,2014-06-02,2017-03-13,2017-02-17,10019,MANHATTAN,Mexican,1379 6 AVENUE,7,4,1,7.0,6.0,6,1.1666666666666667,1.0,24,1015,1
41549861,17.0,9.0,2014-04-01,2017-02-28,2017-02-03,11238,BROOKLYN,American,755 DEAN STREET,9,1,1,16.0,8.0,8,2.0,1.0,25,1064,0
41549862,3.0,5.0,2014-10-08,2016-10-21,2015-09-23,10462,BRONX,Pizza,1005A MORRIS PARK AVENUE,3,1,2,2.0,3.0,2,1.0,1.5,394,744,0
41549885,6.0,2.0,2013-11-25,2016-11-10,2015-11-12,10469,BRONX,Chinese,3416 BOSTON ROAD,4,1,2,5.0,0.0,3,1.6666666666666667,0.0,364,1081,0
41549888,21.0,10.0,2013-11-14,2016-09-08,2016-08-18,10033,MANHATTAN,Italian,829 WEST  181 STREET,10,3,1,18.0,9.0,9,2.0,1.0,21,1029,1
41549943,24.0,10.0,2014-05-09,2017-01-12,2016-11-18,10033,MANHATTAN,"Juice, Smoothies, Fruit Salads",334 AUDUBON AVENUE,10,2,1,22.0,9.0,9,2.4444444444444446,1.0,55,979,1
41549980,14.0,10.0,2013-10-17,2016-07-19,2016-04-01,10003,MANHATTAN,Italian,226 3 AVENUE,7,1,2,13.0,8.0,6,2.1666666666666665,1.3333333333333333,109,1006,0
41550229,6.0,10.0,2014-05-22,2017-01-26,2015-12-21,10017,MANHATTAN,Indian,211 EAST   46 STREET,5,2,1,4.0,9.0,4,1.0,2.25,402,980,1
41550237,24.0,11.0,2013-04-04,2016-03-17,2015-02-20,10013,MANHATTAN,American,6 YORK STREET,10,1,1,23.0,10.0,9,2.5555555555555554,1.1111111111111112,391,1078,0
41550291,4.0,4.0,2013-06-26,2016-04-19,2015-05-18,11357,QUEENS,American,2005 FRANCIS LEWIS BOULEVARD,4,2,1,2.0,3.0,3,0.6666666666666666,1.0,337,1028,1
41550389,9.0,5.0,2013-04-25,2016-03-18,2015-03-05,11238,BROOKLYN,Chicken,1147 FULTON STREET,7,1,1,8.0,4.0,6,1.3333333333333333,0.6666666666666666,379,1058,0
41550532,3.0,3.0,2014-04-09,2017-04-04,2016-08-24,10465,BRONX,Café/Coffee/Tea,6 PENNYFIELD AVENUE,5,1,2,2.0,1.0,4,0.5,0.25,223,1091,0
41550602,15.0,9.0,2013-05-24,2016-05-16,2015-05-13,10010,MANHATTAN,American,123 EAST   24 STREET,8,1,1,14.0,8.0,7,2.0,1.1428571428571428,369,1088,0
41550609,10.0,4.0,2014-04-18,2016-06-10,2015-10-29,10011,MANHATTAN,Donuts,220 WEST   23 STREET,6,1,1,9.0,3.0,5,1.8,0.6,225,784,0
41550697,7.0,7.0,2014-05-03,2017-02-21,2016-06-15,10009,MANHATTAN,American,205 EAST    4 STREET,6,1,1,6.0,6.0,5,1.2,1.2,251,1025,0
41550728,12.0,6.0,2014-03-04,2016-11-16,2016-09-17,11218,BROOKLYN,Thai,3019 FORT HAMILTON PARKWAY,6,1,2,11.0,4.0,5,2.2,0.8,60,988,0
41551112,8.0,6.0,2014-03-28,2016-11-28,2016-10-20,10017,MANHATTAN,Mediterranean,45 EAST   45 STREET,6,1,1,7.0,5.0,5,1.4,1.0,39,976,0
41551165,26.0,11.0,2013-09-09,2016-08-25,2016-07-22,10017,MANHATTAN,Japanese,12 EAST   41 STREET,12,2,1,24.0,10.0,11,2.1818181818181817,0.9090909090909091,34,1081,1
41551299,9.0,1.0,2014-05-14,2016-12-23,2015-12-07,11215,BROOKLYN,American,627 5 AVENUE,5,2,1,7.0,0.0,4,1.75,0.0,382,954,1
41551304,10.0,3.0,2014-02-21,2016-12-22,2015-10-21,10036,MANHATTAN,American,7 TIMES SQUARE,5,2,1,8.0,2.0,4,2.0,0.5,428,1035,1
41551354,18.0,10.0,2014-07-11,2017-03-10,2016-08-23,11372,QUEENS,Bangladeshi,3714 73 STREET,11,1,2,17.0,8.0,10,1.7,0.8,199,973,0
41551369,21.0,13.0,2014-08-11,2017-02-16,2017-01-23,10019,MANHATTAN,Vietnamese/Cambodian/Malaysia,314 WEST   52 STREET,10,2,1,19.0,12.0,9,2.111111111111111,1.3333333333333333,24,920,1
41551464,8.0,6.0,2013-08-19,2016-08-17,2015-08-04,11375,QUEENS,Chinese,10111 QUEENS BOULEVARD,6,1,2,7.0,4.0,5,1.4,0.8,379,1094,0
41551620,28.0,17.0,2014-04-03,2017-02-24,2017-01-30,10003,MANHATTAN,Italian,113 UNIVERSITY PLACE,11,2,1,26.0,16.0,10,2.6,1.6,25,1058,1
41551865,8.0,13.0,2014-04-05,2016-11-16,2016-10-06,11366,QUEENS,Asian,17659 UNION TURNPIKE,6,1,1,7.0,12.0,5,1.4,2.4,41,956,0
41551883,25.0,12.0,2014-07-22,2017-01-19,2016-10-26,10128,MANHATTAN,Italian,1424 LEXINGTON AVENUE,10,2,1,23.0,11.0,9,2.5555555555555554,1.2222222222222223,85,912,1
41551889,16.0,13.0,2013-06-05,2016-03-28,2015-02-10,11355,QUEENS,Korean,14909 41 AVENUE,8,1,2,15.0,11.0,7,2.142857142857143,1.5714285714285714,412,1027,0
41551945,4.0,6.0,2014-08-13,2017-04-05,2016-09-16,11226,BROOKLYN,Bakery,2705 CHURCH AVENUE,5,1,1,3.0,5.0,4,0.75,1.25,201,966,0
41552060,3.0,2.0,2014-05-09,2016-05-20,2015-04-24,10036,MANHATTAN,American,11 TIMES SQUARE,3,2,1,1.0,1.0,2,0.5,0.5,392,742,1
41552160,9.0,11.0,2014-04-29,2016-10-03,2015-09-18,11358,QUEENS,Japanese,2573 FRANCIS LEWIS BOULEVARD,6,2,1,7.0,10.0,5,1.4,2.0,381,888,1
41552183,18.0,10.0,2013-11-01,2016-09-15,2015-09-04,10038,MANHATTAN,Bakery,77 CATHERINE STREET,10,1,1,17.0,9.0,9,1.8888888888888888,1.0,377,1049,0
41552184,24.0,11.0,2013-04-29,2016-03-18,2015-09-30,10013,MANHATTAN,Chinese,13 DOYERS STREET,11,1,1,23.0,10.0,10,2.3,1.0,170,1054,0
41552204,2.0,5.0,2014-08-19,2016-08-25,2015-07-29,10475,BRONX,American,2010 BARTOW AVENUE,3,1,2,1.0,3.0,2,0.5,1.5,393,737,0
41552224,3.0,3.0,2014-12-10,2017-02-10,2016-01-12,10003,MANHATTAN,Café/Coffee/Tea,33 EAST   17 STREET,3,1,2,2.0,1.0,2,1.0,0.5,395,793,0
41552243,4.0,5.0,2013-10-26,2016-10-21,2015-10-13,11101,QUEENS,American,3801 35 AVENUE,4,1,2,3.0,3.0,3,1.0,1.0,374,1091,0
41552490,3.0,4.0,2014-03-04,2016-05-11,2015-02-19,10301,STATEN ISLAND,Indian,323 VICTORY BOULEVARD,3,1,2,2.0,2.0,2,1.0,1.0,447,799,0
41552525,9.0,11.0,2014-05-23,2016-06-02,2015-10-26,11106,QUEENS,Caribbean,3601 VERNON BOULEVARD,6,1,2,8.0,9.0,5,1.6,1.8,220,741,0
41552592,3.0,7.0,2013-09-18,2016-05-24,2015-10-15,11201,BROOKLYN,Chinese,402 HENRY STREET,5,1,2,2.0,5.0,4,0.5,1.25,222,979,0
41552593,5.0,3.0,2013-04-05,2016-03-30,2015-03-23,10024,MANHATTAN,Italian,475 COLUMBUS AVENUE,4,1,1,4.0,2.0,3,1.3333333333333333,0.6666666666666666,373,1090,0
41552594,6.0,6.0,2013-08-21,2016-07-21,2016-01-05,10016,MANHATTAN,Italian,420 PARK AVENUE SOUTH,5,2,1,4.0,5.0,4,1.0,1.25,198,1065,1
41552659,4.0,5.0,2014-12-22,2017-03-01,2016-02-25,11385,QUEENS,Chinese,6541 MYRTLE AVENUE,3,1,2,3.0,3.0,2,1.5,1.5,370,800,0
41552928,21.0,5.0,2014-10-11,2017-02-02,2016-12-15,11201,BROOKLYN,American,66 HICKS STREET,8,2,1,19.0,4.0,7,2.7142857142857144,0.5714285714285714,49,845,1
41553082,14.0,9.0,2013-07-09,2016-03-30,2015-04-13,10002,MANHATTAN,American,61 DELANCEY STREET,10,1,2,13.0,7.0,9,1.4444444444444444,0.7777777777777778,352,995,0
41553234,7.0,9.0,2014-06-30,2017-02-13,2016-01-11,11375,QUEENS,Chinese,10119 QUEENS BOULEVARD,5,1,3,6.0,6.0,4,1.5,1.5,399,959,0
41553265,3.0,5.0,2014-12-08,2017-01-30,2015-12-30,11361,QUEENS,Greek,3811 BELL BOULEVARD,3,1,2,2.0,3.0,2,1.0,1.5,397,784,0
41553360,3.0,4.0,2013-09-23,2016-08-29,2015-09-08,10029,MANHATTAN,Donuts,1873 2 AVENUE,4,1,1,2.0,3.0,3,0.6666666666666666,1.0,356,1071,0
41553437,15.0,7.0,2014-01-02,2016-09-01,2015-08-12,11372,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9117 37 AVENUE,8,2,1,13.0,6.0,7,1.8571428571428572,0.8571428571428571,386,973,1
41553479,34.0,25.0,2014-04-03,2017-03-28,2017-03-01,10013,MANHATTAN,Chinese,148 HESTER STREET,17,3,2,31.0,23.0,16,1.9375,1.4375,27,1090,1
41553690,15.0,11.0,2013-09-18,2016-09-09,2016-03-22,10007,MANHATTAN,American,275 GREENWICH STREET,9,1,1,14.0,10.0,8,1.75,1.25,171,1087,0
41553707,13.0,8.0,2013-07-29,2016-06-03,2016-03-24,10016,MANHATTAN,Café/Coffee/Tea,200 LEXINGTON AVENUE,10,1,1,12.0,7.0,9,1.3333333333333333,0.7777777777777778,71,1040,0
41553722,16.0,8.0,2013-11-27,2016-07-05,2015-12-22,11374,QUEENS,American,9508 63 DRIVE,8,1,1,15.0,7.0,7,2.142857142857143,1.0,196,951,0
41553745,39.0,15.0,2014-02-19,2016-08-31,2016-01-21,10038,MANHATTAN,Chinese,9 CHATHAM SQUARE,12,1,1,38.0,14.0,11,3.4545454545454546,1.2727272727272727,223,924,0
