,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
40364576,28.0,18.0,2014-02-12,2016-07-27,2015-12-28,10019,MANHATTAN,French,311 WEST   51 STREET,9,1,3,27.0,15.0,8,3.375,1.875,212,896,0
40364581,9.0,8.0,2014-02-12,2016-11-04,2016-06-22,11201,BROOKLYN,American,386 FLATBUSH AVENUE EXTENSION,8,1,1,8.0,7.0,7,1.1428571428571428,1.0,135,996,0
40364668,12.0,14.0,2014-02-12,2017-01-17,2016-09-08,10016,MANHATTAN,Italian,251 EAST   31 STREET,7,2,2,10.0,12.0,6,1.6666666666666667,2.0,131,1070,1
40364681,6.0,5.0,2014-05-14,2016-08-18,2016-05-26,11235,BROOKLYN,American,2602 EAST   15 STREET,4,2,2,4.0,3.0,3,1.3333333333333333,1.0,84,827,1
40364691,6.0,5.0,2014-11-24,2017-02-24,2017-01-27,10021,MANHATTAN,Continental,.1-A EAST 77 ST,4,1,1,5.0,4.0,3,1.6666666666666667,1.3333333333333333,28,823,0
40364715,16.0,12.0,2014-06-10,2016-11-03,2016-08-22,10011,MANHATTAN,American,56 9 AVENUE,7,1,2,15.0,10.0,6,2.5,1.6666666666666667,73,877,0
40364744,10.0,7.0,2013-10-30,2016-10-03,2016-04-27,11414,QUEENS,Pizza/Italian,156-71 CROSSBAY BOULEVARD,7,2,1,8.0,6.0,6,1.3333333333333333,1.0,159,1069,1
40364858,8.0,7.0,2013-05-31,2016-04-02,2015-02-04,11363,QUEENS,American,600 WEST DRIVE,5,1,1,7.0,6.0,4,1.75,1.5,423,1037,0
40364863,13.0,7.0,2014-03-14,2017-03-02,2016-08-31,10022,MANHATTAN,American,225 EAST   60 STREET,9,2,2,11.0,5.0,8,1.375,0.625,183,1084,1
40364889,2.0,8.0,2014-11-28,2017-01-23,2015-12-21,11232,BROOKLYN,American,461 37 STREET,3,1,4,1.0,4.0,2,0.5,2.0,399,787,0
40364920,4.0,5.0,2014-10-06,2016-11-03,2016-09-23,11103,QUEENS,Pizza,3013 STEINWAY STREET,4,2,1,2.0,4.0,3,0.6666666666666666,1.3333333333333333,41,759,1
40364956,9.0,4.0,2013-03-14,2016-02-13,2014-12-18,10462,BRONX,American,2222 HAVILAND AVENUE,5,1,1,8.0,3.0,4,2.0,0.75,422,1066,0
40364958,2.0,5.0,2013-07-25,2016-02-16,2015-08-06,10014,MANHATTAN,American,567 HUDSON STREET,5,1,1,1.0,4.0,4,0.25,1.0,194,936,0
40365013,5.0,5.0,2014-04-24,2016-08-18,2016-05-12,10305,STATEN ISLAND,Italian,67 OLYMPIA BOULEVARD,4,2,2,3.0,3.0,3,1.0,1.0,98,847,1
40365022,4.0,4.0,2013-06-15,2016-06-02,2015-05-20,10305,STATEN ISLAND,American,390 HYLAN BOULEVARD,4,1,1,3.0,3.0,3,1.0,1.0,379,1083,0
40365043,4.0,6.0,2014-05-03,2017-03-01,2016-01-14,11223,BROOKLYN,American,1 BOUCK COURT,5,1,1,3.0,5.0,4,0.75,1.25,412,1033,0
40365075,7.0,10.0,2014-01-09,2016-12-12,2016-11-14,10003,MANHATTAN,Irish,15 EAST    7 STREET,8,1,1,6.0,9.0,7,0.8571428571428571,1.2857142857142858,28,1068,0
40365098,16.0,11.0,2014-11-14,2016-12-08,2016-11-14,10013,MANHATTAN,Italian,93 BAXTER STREET,7,1,1,15.0,10.0,6,2.5,1.6666666666666667,24,755,0
40365120,10.0,4.0,2014-06-27,2016-08-25,2016-07-27,10309,STATEN ISLAND,American,6736 HYLAN BOULEVARD,6,2,2,8.0,2.0,5,1.6,0.4,29,790,1
40365166,16.0,17.0,2014-05-12,2016-12-08,2016-11-28,10014,MANHATTAN,American,331 WEST    4 STREET,8,1,3,15.0,14.0,7,2.142857142857143,2.0,10,941,0
40365226,26.0,14.0,2014-04-28,2017-01-30,2016-01-20,11226,BROOKLYN,Donuts,1449 NOSTRAND AVENUE,13,2,1,24.0,13.0,12,2.0,1.0833333333333333,376,1008,1
40365239,13.0,8.0,2013-08-12,2016-03-03,2015-09-18,10028,MANHATTAN,Irish,1616 2 AVENUE,8,2,2,11.0,6.0,7,1.5714285714285714,0.8571428571428571,167,934,1
40365264,7.0,5.0,2014-04-09,2016-11-15,2015-11-17,10022,MANHATTAN,French,3 EAST   52 STREET,5,1,1,6.0,4.0,4,1.5,1.0,364,951,0
40365280,5.0,9.0,2014-02-10,2016-08-29,2015-07-14,10032,MANHATTAN,Pizza,4035 BROADWAY,5,1,2,4.0,7.0,4,1.0,1.75,412,931,0
40365288,13.0,9.0,2013-05-28,2016-05-25,2015-09-14,10017,MANHATTAN,American,842 2 AVENUE,8,1,1,12.0,8.0,7,1.7142857142857142,1.1428571428571428,254,1093,0
40365293,5.0,9.0,2014-05-02,2016-07-13,2016-05-10,10013,MANHATTAN,Italian,146 MULBERRY STREET,4,1,2,4.0,7.0,3,1.3333333333333333,2.3333333333333335,64,803,0
40365348,11.0,6.0,2014-05-22,2017-03-01,2016-08-16,10012,MANHATTAN,Mexican,103 MACDOUGAL STREET,5,2,1,9.0,5.0,4,2.25,1.25,197,1014,1
40365355,10.0,11.0,2013-07-09,2016-06-09,2015-12-15,11228,BROOKLYN,Italian,7201 8 AVENUE,7,2,2,8.0,9.0,6,1.3333333333333333,1.5,177,1066,1
40365361,16.0,8.0,2014-06-18,2017-02-16,2016-07-07,10036,MANHATTAN,American,15 WEST   43 STREET,8,1,1,15.0,7.0,7,2.142857142857143,1.0,224,974,0
40365387,6.0,9.0,2013-09-04,2016-05-12,2015-04-03,10012,MANHATTAN,Italian,106 WEST HOUSTON STREET,5,1,2,5.0,7.0,4,1.25,1.75,405,981,0
40365414,10.0,11.0,2014-06-24,2017-03-02,2017-01-31,10022,MANHATTAN,French,405 EAST   52 STREET,7,1,2,9.0,9.0,6,1.5,1.5,30,982,0
40365454,22.0,12.0,2013-12-19,2016-10-13,2016-09-12,10314,STATEN ISLAND,Pizza/Italian,1758 VICTORY BOULEVARD,10,1,1,21.0,11.0,9,2.3333333333333335,1.2222222222222223,31,1029,0
40365472,22.0,12.0,2014-02-11,2016-09-29,2016-03-21,10011,MANHATTAN,Spanish,113 WEST   13 STREET,10,1,2,21.0,10.0,9,2.3333333333333335,1.1111111111111112,192,961,0
40365499,13.0,8.0,2014-04-15,2016-11-23,2016-10-20,10451,BRONX,American,72 EAST  161 STREET,6,2,1,11.0,7.0,5,2.2,1.4,34,953,1
40365525,18.0,15.0,2015-01-21,2017-04-11,2016-09-26,10011,MANHATTAN,Donuts,203 WEST   14 STREET,11,1,2,17.0,13.0,10,1.7,1.3,197,811,0
40365546,15.0,11.0,2013-12-18,2016-11-02,2016-09-20,11211,BROOKLYN,American,229 HAVEMEYER STREET,10,1,1,14.0,10.0,9,1.5555555555555556,1.1111111111111112,43,1050,0
40365577,7.0,12.0,2014-06-12,2017-03-01,2017-01-31,10025,MANHATTAN,Italian,1024 AMSTERDAM AVENUE,6,1,1,6.0,11.0,5,1.2,2.2,29,993,0
40365627,10.0,5.0,2014-07-07,2017-02-22,2017-02-07,11372,QUEENS,American,8104 37 AVENUE,6,2,1,8.0,4.0,5,1.6,0.8,15,961,1
40365632,8.0,8.0,2014-04-23,2017-04-05,2017-03-02,11204,BROOKLYN,Pizza,6322 18 AVENUE,6,3,1,5.0,7.0,5,1.0,1.4,34,1078,1
40365644,4.0,8.0,2013-09-25,2016-07-19,2015-10-09,10036,MANHATTAN,American,326 WEST   46 STREET,5,1,1,3.0,7.0,4,0.75,1.75,284,1028,0
40365709,29.0,12.0,2013-05-28,2016-01-27,2016-01-04,10065,MANHATTAN,Italian,351 EAST   62 STREET,10,2,1,27.0,11.0,9,3.0,1.2222222222222223,23,974,1
40365726,10.0,2.0,2014-05-13,2017-02-15,2016-01-27,10036,MANHATTAN,Italian,319321 323 W. 46TH ST.,5,2,2,8.0,0.0,4,2.0,0.0,385,1009,1
40365784,11.0,10.0,2014-02-20,2016-10-03,2015-09-18,11224,BROOKLYN,Italian,2911 WEST   15 STREET,6,1,3,10.0,7.0,5,2.0,1.4,381,956,0
40365789,16.0,12.0,2013-07-22,2016-05-16,2015-10-05,10019,MANHATTAN,Italian,236 WEST   56 STREET,9,2,2,14.0,10.0,8,1.75,1.25,224,1029,1
40365841,14.0,7.0,2014-07-17,2017-03-10,2016-08-25,11368,QUEENS,Italian,10701 CORONA AVENUE,8,1,3,13.0,4.0,7,1.8571428571428572,0.5714285714285714,197,967,0
40365844,2.0,4.0,2015-01-22,2017-03-08,2016-02-20,11103,QUEENS,American,4515 BROADWAY,3,1,1,1.0,3.0,2,0.5,1.5,382,776,0
40365871,3.0,5.0,2014-08-11,2016-08-18,2015-07-27,10022,MANHATTAN,American,358 EAST   57 STREET,3,1,1,2.0,4.0,2,1.0,2.0,388,738,0
40365882,12.0,11.0,2013-11-04,2016-05-26,2015-10-19,10001,MANHATTAN,Pizza,413 8 AVENUE,8,2,1,10.0,10.0,7,1.4285714285714286,1.4285714285714286,220,934,1
40365893,14.0,11.0,2013-08-02,2016-02-20,2015-02-20,10467,BRONX,Irish,331 EAST  204 STREET,8,1,1,13.0,10.0,7,1.8571428571428572,1.4285714285714286,365,932,0
40365904,18.0,9.0,2014-07-10,2017-02-14,2016-07-21,10013,MANHATTAN,Café/Coffee/Tea,26 PELL STREET,8,1,2,17.0,7.0,7,2.4285714285714284,1.0,208,950,0
40365938,13.0,8.0,2013-06-06,2016-02-04,2015-04-14,11001,QUEENS,American,25541 JAMAICA AVENUE,6,2,1,11.0,7.0,5,2.2,1.4,296,973,1
40365942,20.0,10.0,2013-11-19,2016-11-10,2016-10-13,10013,MANHATTAN,Chinese,21 MOTT STREET,8,1,2,19.0,8.0,7,2.7142857142857144,1.1428571428571428,28,1087,0
40365968,18.0,11.0,2014-03-31,2016-10-18,2016-09-07,10013,MANHATTAN,American,1 LISPENARD ST,9,2,1,16.0,10.0,8,2.0,1.25,41,932,1
40365972,9.0,8.0,2013-03-18,2016-03-10,2015-07-27,11435,QUEENS,American,14609 JAMAICA AVENUE,6,1,2,8.0,6.0,5,1.6,1.2,227,1088,0
40366002,6.0,6.0,2014-07-25,2017-03-10,2016-08-23,11432,QUEENS,Pizza,16304 JAMAICA AVENUE,5,1,1,5.0,5.0,4,1.25,1.25,199,959,0
40366054,7.0,10.0,2013-06-08,2016-04-07,2015-03-30,11694,QUEENS,American,10807 ROCKAWAY BEACH BOULEVARD,6,2,2,5.0,8.0,5,1.0,1.6,374,1034,1
