,search_info,google_name,rating
41108068,"jophsua 19 13406 JAMAICA AVENUE, NY",jophsua 19 grocery & restaurant,4.8
41108575,"soho bistro 0 JFK INTERNATIONAL AIRPORT, NY",soho bistro,2.3
41108581,"starbucks 0 JFK INTERNATIONAL AIRPORT, NY",starbucks,2.7
41108812,"44 1/2 cafe 626 10 AVENUE, NY",44½,3.9
41108853,"omiya sushi ii 2317 AVENUE U, NY",omiya sushi,4.3
41108957,"new mexico place 189 GRAHAM AVENUE, NY",new mexico place,4
41108999,"pala 198 ALLEN STREET, NY",pala pizza,4.1
41109162,"h.q. lounge 1609 NOSTRAND AVENUE, NY",h q lounge,4.2
41109275,"little cupcake bakeshop 9102 3 AVENUE, NY",little cupcake bakeshop bay ridge @ 91st street & 3rd avenue,4.4
41109381,"domino's 2554 ADAM CLAYTON POWELL JR BOULEVARD, NY",domino's pizza,3.9
41109419,"theater row diner 424 WEST   42 STREET, NY",theatre row diner,3.7
41109543,"waldy's wood fired pizza & penne 800 6 AVENUE, NY",waldy's wood fired pizza & penne,4.3
41109700,"dunkin' donuts 9507 57 AVENUE, NY",dunkin' donuts,3.3
41110219,"mbj food service 2910 THOMPSON AVENUE, NY",mbj food services,2
41110390,"yip's restaurant/juice vitality 18 BEAVER STREET, NY",SEARCH FAILURE,
41110462,"j & r pizzeria no. 2 133 MCCLEAN AVENUE, NY",j & r pizza ii,4.4
41110540,"pizza central of brooklyn 941 MCDONALD AVENUE, NY",pizza central of brooklyn,3.2
41110892,"mollie ryan's publick house 2574 ARTHUR KILL ROAD, NY",SEARCH FAILURE,
41110973,"el gran mar de plata 3175 FULTON STREET, NY",el gran mar de plata restaurant & bar,3.8
41111038,"colombian restaurant & bakery 4823 4 AVENUE, NY",el patio colombian restaurant,4.3
41111237,"the raging skillet 335 EAST HOUSTON STREET, NY",SEARCH FAILURE,
41111393,"le souk 510 LAGUARDIA PLACE, NY",le souk,3.4
41111464,"100 fun 932934 60 STREET, NY",100 fun,3.7
41111524,"eat-a-bagel--john marchi ferry 12 WHITE HALL FERRY TERMINAL, NY",SEARCH FAILURE,
41111912,"mcdonald's 5404 MYRTLE AVENUE, NY",mcdonald's,3.6
41112470,"villa mia pizza 526 3 AVENUE, NY",villa mia pizza,4.1
41112524,"adrienne's pizza bar 54 STONE STREET, NY",adrienne's pizzabar,4.1
41112530,"atrium cinemas 680 ARTHUR KILL ROAD, NY",atrium stadium cinemas,4.1
41112617,"bagels cafe/gowanus yacht club 323 SMITH STREET, NY",gowanus yacht club,4.4
41112797,"elegante pastry shop 165 AVENUE U, NY",elegante pastry shop,4.3
41112819,"song 295 5 AVENUE, NY",song,4.3
