,3-day humidity,3-day temp
71,61.3333333333,60.3333333333
72,79.3333333333,41.3333333333
73,68.0,58.6666666667
74,64.3333333333,46.6666666667
75,64.6666666667,55.3333333333
76,79.3333333333,41.3333333333
77,65.0,53.3333333333
78,53.3333333333,52.0
79,64.6666666667,55.3333333333
80,58.0,47.0
81,65.0,53.3333333333
82,58.0,47.0
83,68.0,58.6666666667
84,79.3333333333,41.3333333333
85,65.0,53.3333333333
86,54.0,49.3333333333
87,53.3333333333,52.0
88,54.0,49.3333333333
89,58.0,47.0
90,79.3333333333,41.3333333333
91,61.3333333333,60.3333333333
92,64.6666666667,55.3333333333
93,61.3333333333,60.3333333333
94,67.0,54.3333333333
95,60.3333333333,53.3333333333
96,61.3333333333,60.3333333333
97,53.3333333333,52.0
98,56.0,57.3333333333
99,79.3333333333,41.3333333333
100,65.0,53.3333333333
101,54.0,49.3333333333
102,64.6666666667,55.3333333333
103,53.3333333333,52.0
104,67.0,54.3333333333
105,54.0,49.3333333333
106,61.3333333333,60.3333333333
107,68.0,58.6666666667
108,58.0,47.0
109,64.3333333333,46.6666666667
110,65.0,53.3333333333
111,61.3333333333,60.3333333333
112,67.3333333333,49.0
113,64.3333333333,46.6666666667
114,67.0,54.3333333333
115,67.3333333333,49.0
116,61.3333333333,60.3333333333
117,68.0,58.6666666667
118,60.3333333333,53.3333333333
119,79.3333333333,41.3333333333
120,64.6666666667,55.3333333333
121,54.0,49.3333333333
122,68.0,58.6666666667
123,53.3333333333,52.0
124,68.0,58.6666666667
125,79.3333333333,41.3333333333
126,79.3333333333,41.3333333333
127,68.0,58.6666666667
128,56.0,57.3333333333
129,60.3333333333,53.3333333333
130,67.0,54.3333333333
131,54.0,49.3333333333
132,67.0,54.3333333333
133,64.6666666667,55.3333333333
134,64.3333333333,46.6666666667
135,65.0,53.3333333333
136,60.3333333333,53.3333333333
137,58.0,47.0
138,67.0,54.3333333333
139,65.0,53.3333333333
140,67.0,54.3333333333
141,54.0,49.3333333333
142,65.0,53.3333333333
143,61.3333333333,60.3333333333
144,60.3333333333,53.3333333333
145,67.3333333333,49.0
146,60.3333333333,53.3333333333
147,64.6666666667,55.3333333333
148,79.3333333333,41.3333333333
149,58.0,47.0
150,64.3333333333,46.6666666667
151,79.3333333333,41.3333333333
152,67.0,54.3333333333
153,58.0,47.0
154,64.6666666667,55.3333333333
155,79.3333333333,41.3333333333
156,60.3333333333,53.3333333333
