Serial#,County,Type,Class,Premises Name,Address,Address2,City,State,Zip,
1197139,NEW,ST,7,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1191252,NEW,ST,3,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1193459,NEW,ST,5,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1192864,NEW,ST,4,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1189905,NEW,ST,2,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1185484,NEW,ST,1,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1185483,NEW,OP,252,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1247164,NEW,EB,141,LUZ HUMBERTO CORP,801 AMSTERDAM AVENUE,,NEW YORK,NY,10025,
1027858,NEW,OP,252,LUZCO INC,315 W 48TH STREET,,NEW YORK,NY,10036,
1281591,NEW,ST,1,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1282491,NEW,OP,252,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1283556,NEW,ST,2,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1281590,NEW,RW,341,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1292580,NEW,OP,252,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1289839,NEW,OP,252,LVSS INC,483 COLUMBUS AVE,,NEW YORK,NY,10024,
1296361,NEW,L,222,LW ESSENTIAL LLC,1215 2ND AVE,,NEW YORK,NY,10065,
1286701,NEW,ST,1,LWB HOSPITALITY GROUP LLC ,416 AMSTERDAM AVE ,,NEW YORK ,NY,10024,
1286700,NEW,OP,252,LWB HOSPITALITY GROUP LLC ,416 AMSTERDAM AVE ,,NEW YORK ,NY,10024,
1236565,NEW,OP,252,LYCHEE HOUSE INC,141 E 55 ST,,NEW YORK,NY,10022,
1236566,NEW,ST,1,LYCHEE HOUSE INC,141 E 55 STREET,,NEW YORK,NY,10022,
1112451,NEW,RW,341,LYCHEE INC,126 ST MARKS PLACE,,NEW YORK,NY,10009,
1023411,NEW,HL,242,"LYDEN HOTEL CO,PARTNERSHIP",20 E 76TH STREET,,NEW YORK,NY,10021,
1029431,NEW,RW,341,LYDIA &amp; LYDIA CORP,30 CORNELIA STREET,,NEW YORK,NY,10014,
1029430,NEW,RW,341,LYDIA &amp; LYDIA CORP,30 CORNELIA STREET,,NEW YORK,NY,10014,
1253081,NEW,OP,252,LYDIA &amp; LYDIA CORP,30 CORNELIA ST,,NEW YORK,NY,10014,
1278533,NEW,OP,252,LYFE KITCHEN OF CALIFORNIA LLC,248 W 55TH ST,,NEW YORK,NY,10019,
1029547,NEW,RW,341,LYNAL FOOD CORP,244 MADISON AVE,,NEW YORK,NY,10016,
1029546,NEW,RW,341,LYNAL FOOD CORP,244 MADISON AVE,,NEW YORK,NY,10016,
1134678,NEW,EB,141,LYONS RESTAURANT CORP,3855 10TH AVE,,NEW YORK,NY,10034,
1134679,NEW,ST,1,LYONS RESTAURANT CORP,3855 10TH AVE,,NEW YORK,NY,10034,
1277068,NEW,OP,951,LYRIC THEATRE LLC ,214 W 43RD ST,,NEW YORK,NY,10036,
1277069,NEW,OP,952,LYRIC THEATRE LLC ,214 W 43RD ST,,NEW YORK,NY,10036,
1277067,NEW,OP,252,LYRIC THEATRE LLC ,214 W 43RD ST,,NEW YORK,NY,10036,
1277070,NEW,OP,953,LYRIC THEATRE LLC ,214 W 43RD ST,,NEW YORK,NY,10036,
1137338,NEW,A,122,M &amp; A ARDEN GROCERY CORP,120 NAGLE AVENUE,,NEW YORK,NY,10040,
1137339,NEW,ST,1,M &amp; A ARDEN GROCERY CORP,120 NAGLE AVENUE,,NEW YORK,NY,10040,
1019169,NEW,A,122,M &amp; A VARIETY STORE INC,248 E 44TH STREET,,NEW YORK,NY,10017,
1291022,NEW,AX,122,M &amp; B DELI GROCERY STORE CORP,1814 AMSTERDAM AVE,,NEW YORK,NY,10031,
1180470,NEW,AX,122,M &amp; B DELI GROCERY STORE CORP,1814 AMSTERDAM AVE,,NEW YORK,NY,10031,
1129699,NEW,A,122,M &amp; B INTERNATIONAL FOODS INC,4407 BROADWAY,,NEW YORK,NY,10040,
1026690,NEW,OP,252,M &amp; C &amp; A RESTAURANT CORP,1202 2ND AVENUE,,NEW YORK,NY,10021,
1020968,NEW,AX,122,M &amp; C ENTERPRISE INC,821 PARK AVENUE,,NEW YORK,NY,10021,
1276396,NEW,RW,341,M &amp; C FOOD AND BEVERAGE LLC,83 BAXTER ST,,NEW YORK,NY,10013,
1159848,NEW,RW,341,"M &amp; D COFFEE SHOP, LLC",45 8TH AVENUE,,NEW YORK,NY,10014,
1022319,NEW,AX,122,M &amp; D FOOD CORP,579 MAIN STREET,,NEW YORK,NY,10044,
1019870,NEW,A,122,M &amp; E LEX GROCERY CORP,2085 LEXINGTON AVENUE,,NEW YORK,NY,10035,
1126423,NEW,OP,252,M &amp; E READE LLC,105 READE STREET,,NEW YORK,NY,10013,
1280551,NEW,AX,122,M &amp; F FOOD CORP,568 W 185TH ST,,NEW YORK,NY,10033,
1022906,NEW,EB,141,M &amp; G DINER INC,371 LAFAYETTE STREET,,NEW YORK,NY,10012,
1223242,NEW,OP,252,M &amp; G TAPAS REST. CORP.,1123 1ST AVE,,NEW YORK,NY,10021,
1173785,NEW,L,222,M &amp; H FINE WINES LLC,225 W 80TH STREET,,NEW YORK,NY,10024,
1285058,NEW,L,222,M &amp; H LIQUORS LLC,2812 2814 FREDERICK DOUGLAS BL,,NEW YORK,NY,10039,
1284444,NEW,RW,341,M &amp; J ASIAN RESTAURANT INC,600 E 14TH ST,,NEW YORK,NY,10009,
1022833,NEW,EB,141,M &amp; J BROAD BAKERY CORP,105 BROAD STREET,,NEW YORK,NY,10004,
1282520,NEW,OP,252,M &amp; J CAFE INC ,2026 2ND AVE ,,NEW YORK ,NY,10029,
1122820,NEW,OP,252,M &amp; J DAVIS INC,175 EAST 105TH STREET,,NEW YORK,NY,10029,
1203730,NEW,ST,1,M &amp; J FOOD DELI GROCERY INC,608 W 192ND ST,,NEW YORK,NY,10040,
1203729,NEW,AX,122,M &amp; J FOOD DELI GROCERY INC,608 W 192ND ST,,NEW YORK,NY,10040,
1026691,NEW,OP,252,M &amp; J THIRD ENTERPRISES CORP,1155 3RD AVENUE,,NEW YORK,NY,10021,
1282603,NEW,OP,252,M &amp; L 116 CORP,332 E 116TH ST,,NEW YORK,NY,10029,
1185593,NEW,ST,1,M &amp; L GROCERY STORE CORP,161 W 106 STREET,,NEW YORK,NY,10025,
1185592,NEW,AX,122,M &amp; L GROCERY STORE CORP,161 W 106 STREET,,NEW YORK,NY,10025,
1193565,NEW,ST,3,M &amp; L GROCERY STORE CORP,161 W 106 STREET,,NEW YORK,NY,10025,
1193566,NEW,ST,4,M &amp; L GROCERY STORE CORP,161 W 106 STREET,,NEW YORK,NY,10025,
1190029,NEW,ST,2,M &amp; L GROCERY STORE CORP,161 W 106 STREET,,NEW YORK,NY,10025,
